time,animal_id,x,y,average_speed,average_acceleration,direction,m-213,m-504,m-608,m-710,m-906,c-0,c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8,c-9
20000,m-213,357.3000,766.4000,0.0000,0.0000,0.0000,0.0000,0.0629,0.0880,0.0381,0.0366,0,0,0,0,0,0,0,0,0,0
20000,m-504,353.7000,717.9000,0.0000,0.0000,0.0000,0.0629,0.0000,0.0706,0.0991,0.0762,1,1,1,1,1,1,0,0,0,0
20000,m-608,300.5000,729.3000,0.0000,0.0000,0.0000,0.0880,0.0706,0.0000,0.1043,0.0665,2,2,2,2,2,2,0,0,0,0
20000,m-710,348.0000,794.3000,0.0000,0.0000,0.0000,0.0381,0.0991,0.1043,0.0000,0.0379,3,3,3,3,1,1,0,0,0,0
20000,m-906,329.6000,771.6000,0.0000,0.0000,0.0000,0.0366,0.0762,0.0665,0.0379,0.0000,4,3,3,3,1,1,0,0,0,0
20001,m-213,357.5000,766.4000,0.1455,-0.0022,0.0000,0.0000,0.2617,0.2905,0.5057,0.2979,0,0,0,0,0,0,0,0,0,0
20001,m-504,353.7000,718.3000,0.4787,-0.0020,90.0000,0.2617,0.0000,0.0744,0.2696,0.0873,1,1,1,1,1,1,0,0,0,0
20001,m-608,300.4000,730.0000,0.5020,0.0031,98.1301,0.2905,0.0744,0.0000,0.2505,0.0695,2,2,2,2,2,2,0,0,0,0
20001,m-710,347.7000,794.3000,0.5720,-0.0027,180.0000,0.5057,0.2696,0.2505,0.0000,0.2149,3,3,3,3,1,1,0,0,0,0
20001,m-906,329.5000,772.0000,0.6105,-0.0044,104.0362,0.2979,0.0873,0.0695,0.2149,0.0000,4,3,3,3,1,1,0,0,0,0
20002,m-213,357.6000,766.3000,0.1674,-0.0028,-45.0000,0.0000,0.3524,0.4099,0.2593,0.4212,0,0,0,0,0,0,0,0,0,0
20002,m-504,353.8000,718.8000,0.4984,-0.0007,78.6901,0.3524,0.0000,0.0895,0.6033,0.1057,1,1,1,1,1,1,0,0,0,0
20002,m-608,300.3000,730.7000,0.4713,0.0041,98.1301,0.4099,0.0895,0.0000,0.6576,0.0717,2,2,2,2,2,2,0,0,0,0
20002,m-710,347.6000,794.2000,0.5991,-0.0015,-135.0000,0.2593,0.6033,0.6576,0.0000,0.6669,3,3,3,3,1,1,0,0,0,0
20002,m-906,329.4000,772.4000,0.6547,-0.0046,104.0362,0.4212,0.1057,0.0717,0.6669,0.0000,4,3,3,3,1,1,0,0,0,0
20003,m-213,357.7000,766.4000,0.1957,-0.0022,45.0000,0.0000,0.0970,0.1743,0.2895,0.2312,0,0,0,0,0,0,0,0,0,0
20003,m-504,354.0000,719.3000,0.5054,-0.0029,68.1986,0.0970,0.0000,0.1103,0.3603,0.1741,1,1,1,1,1,1,0,0,0,0
20003,m-608,300.2000,731.4000,0.4305,0.0033,98.1301,0.1743,0.1103,0.0000,0.4426,0.1024,2,2,2,2,2,2,0,0,0,0
20003,m-710,347.8000,793.9000,0.6140,0.0015,-56.3099,0.2895,0.3603,0.4426,0.0000,0.5028,3,3,3,3,1,1,0,0,0,0
20003,m-906,329.2000,772.7000,0.7011,-0.0050,123.6901,0.2312,0.1741,0.1024,0.5028,0.0000,4,3,3,3,1,1,0,0,0,0
20004,m-213,357.8000,766.5000,0.2176,-0.0050,45.0000,0.0000,0.1185,0.1984,0.2579,0.2137,0,0,0,0,0,0,0,0,0,0
